"zip","lat","lon","city","abr","county","type"
22043,38.9,-77.19,"FALLS CHURCH","VA","FAIRFAX","STANDARD"
22044,38.86,-77.15,"FALLS CHURCH","VA","FAIRFAX","STANDARD"
22046,38.88,-77.17,"FALLS CHURCH","VA","FALLS CHURCH CITY","STANDARD"
22047,38.83,-77.29,"FALLS CHURCH","VA","FAIRFAX","UNIQUE"
22060,38.71,-77.17,"FORT BELVOIR","VA","FAIRFAX","STANDARD"
22066,39,-77.31,"GREAT FALLS","VA","FAIRFAX","STANDARD"
22067,38.96,-77.23,"GREENWAY","VA","FAIRFAX","STANDARD"
22079,38.69,-77.2,"LORTON","VA","FAIRFAX","STANDARD"
22081,38.87,-77.23,"MERRIFIELD","VA","FAIRFAX","STANDARD"
22082,38.83,-77.29,"MERRIFIELD","VA","FAIRFAX","UNIQUE"
22092,38.83,-77.29,"HERNDON","VA","FAIRFAX","UNIQUE"
22093,39.09,-77.65,"ASHBURN","VA","LOUDOUN","UNIQUE"
22095,38.83,-77.29,"HERNDON","VA","FAIRFAX","UNIQUE"
22096,38.83,-77.29,"RESTON","VA","FAIRFAX","UNIQUE"
22101,38.94,-77.19,"MC LEAN","VA","FAIRFAX","STANDARD"
22102,38.95,-77.23,"MC LEAN","VA","FAIRFAX","STANDARD"
22103,38.83,-77.29,"WEST MCLEAN","VA","FAIRFAX","STANDARD"
22106,38.83,-77.29,"MC LEAN","VA","FAIRFAX","STANDARD"
22107,0,0,"MC LEAN","VA","FAIRFAX","UNIQUE"
22108,0,0,"MC LEAN","VA","FAIRFAX","UNIQUE"
22109,38.92,-77.23,"MC LEAN","VA","FAIRFAX","UNIQUE"
22116,38.87,-77.23,"MERRIFIELD","VA","FAIRFAX","STANDARD"
22118,38.83,-77.29,"MERRIFIELD","VA","FAIRFAX","UNIQUE"
22119,38.83,-77.29,"MERRIFIELD","VA","FAIRFAX","UNIQUE"
22120,38.83,-77.29,"MERRIFIELD","VA","FAIRFAX","UNIQUE"
22121,38.83,-77.43,"MOUNT VERNON","VA","FAIRFAX","PO BOX ONLY"
22122,38.83,-77.29,"NEWINGTON","VA","FAIRFAX","PO BOX ONLY"
22124,38.89,-77.33,"OAKTON","VA","FAIRFAX","STANDARD"
22125,38.68,-77.26,"OCCOQUAN","VA","PRINCE WILLIAM","PO BOX ONLY"
22134,38.53,-77.32,"QUANTICO","VA","PRINCE WILLIAM","STANDARD"
22135,38.72,-77.47,"QUANTICO","VA","PRINCE WILLIAM","UNIQUE"
22150,38.76,-77.19,"SPRINGFIELD","VA","FAIRFAX","STANDARD"
22151,38.8,-77.21,"SPRINGFIELD","VA","FAIRFAX","STANDARD"
